"Address","Source Line","Assembly","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound"
"0x10105f20","0","Block 1:","","","","","","",""
"0x10105f20","0","sub rsp, 0x28","142400000","398400000","0.35743","0.00317797","0","0.00460304","0"
"0x10105f24","0","mov qword ptr [rsp+0x30], rbx","89600000","321600000","0.278607","0.00847458","0","0","0.000920604"
"0x10105f29","0","mov ebx, dword ptr [rcx]","284800000","716800000","0.397321","0.0158898","0","0","0"
"0x10105f2b","0","mov qword ptr [rsp+0x38], rbp","14400000","48000000","0.3","0","0","0","0"
"0x10105f30","0","mov qword ptr [rsp+0x40], rsi","156800000","472000000","0.332203","0.0116525","0","0","0"
"0x10105f35","0","mov qword ptr [rsp+0x48], rdi","139200000","411200000","0.338521","0.00741525","0","0","0"
"0x10105f3a","0","mov edi, r8d","110400000","294400000","0.375","0.00105932","0","0.00230152","0.000517836"
"0x10105f3d","0","mov rbp, rdx","1600000","24000000","0.0666667","0","0","0","5.75379e-05"
"0x10105f40","0","mov rsi, rcx","73600000","233600000","0.315068","0.00211864","0","0","0.000345224"
"0x10105f43","0","bts edi, 0x8","64000000","163200000","0.392157","0.00211864","0","0","0.00115076"
"0x10105f47","0","data16 nop","84800000","214400000","0.395522","0.00211864","0","0","0.00074799"
"0x10105f4a","0","data16 nop","8000000","17600000","0.454545","0","0","0.00115076","0"
"0x10105f4d","0","data16 nop","60800000","198400000","0.306452","0.00423729","0","0","0"
"0x10105f50","0","Block 2:","","","","","","",""
"0x10105f50","0","mov edx, ebx","1788800000","3816000000","0.468763","0.0635593","0","0","0"
"0x10105f52","0","mov r9d, edi","84800000","235200000","0.360544","0.0105932","0","0","0"
"0x10105f55","0","mov ecx, edi","9600000","24000000","0.4","0","0","0","0.000345228"
"0x10105f57","0","shr ecx, 0x7","64000000","259200000","0.246914","0.00211864","0","0.00230152","0"
"0x10105f5a","0","shr r9, 0x8","2230400000","4456000000","0.500539","0.0794492","0","0","0.00418862"
"0x10105f5e","0","shr edx, 0xb","121600000","276800000","0.439306","0.00529661","0","0","0"
"0x10105f61","0","movzx r8d, word ptr [rbp+r9*2]","38400000","88000000","0.436364","0.00105932","0","0","0.00023015"
"0x10105f67","0","and ecx, 0x1","2345600000","4624000000","0.507266","0.095339","0","0","0"
"0x10105f6a","0","add edi, edi","1204800000","2569600000","0.468867","0.0466102","0","0.00805532","0"
"0x10105f6c","0","mov eax, ecx","62400000","158400000","0.393939","0","0","0","0.00224398"
"0x10105f6e","0","neg eax","4800000","14400000","0.333333","0","0","0","0.000172614"
"0x10105f70","0","and ebx, eax","566400000","1086400000","0.521355","0.0233051","0","0","0"
"0x10105f72","0","imul edx, r8d","1886400000","3838400000","0.491455","0.0752119","0","0","0.0110472"
"0x10105f76","0","and eax, edx","1132800000","2241600000","0.505353","0.0455508","0","0.0103568","0"
"0x10105f78","0","add qword ptr [rsi+0x8], rax","825600000","1603200000","0.51497","0.0275424","0","0","0"
"0x10105f7c","0","sub ebx, eax","4520000000","9584000000","0.471619","0.159958","0","0.0230152","0"
"0x10105f7e","0","dec ecx","12800000","43200000","0.296296","0.00105932","0","0.00115076","0"
"0x10105f80","0","mov eax, ecx","0","3200000","0","0.00105932","0.0204068","","0"
"0x10105f82","0","and ecx, 0x7e1","14400000","65600000","0.219512","0.00529661","0","0","0.000517841"
"0x10105f88","0","sub ecx, r8d","1771200000","3808000000","0.465126","0.0614407","0","0.0126584","0"
"0x10105f8b","0","and eax, edx","22400000","35200000","0.636364","0.00105932","0","0","0"
"0x10105f8d","0","add ecx, 0x1f","3200000","8000000","0.4","0","0","0","0.000115076"
"0x10105f90","0","add ebx, eax","72000000","164800000","0.436893","0.00423729","0","0.00230152","0"
"0x10105f92","0","sar ecx, 0x5","1764800000","3881600000","0.454658","0.0635593","0","0","0"
"0x10105f95","0","add cx, r8w","38400000","73600000","0.521739","0.00105932","0","0","0.00023015"
"0x10105f99","0","cmp ebx, 0x1000000","59200000","129600000","0.45679","0.00317797","0","0","0.0021289"
"0x10105f9f","0","mov word ptr [rbp+r9*2], cx","41600000","116800000","0.356164","0","0","0.00460304","0"
"0x10105fa5","0","jnb 0x10105fb2 <Block 4>","2336000000","5017600000","0.465561","0.0847458","0","0.0126584","0"
"0x10105fa7","0","Block 3:","","","","","","",""
"0x10105fa7","0","mov rcx, rsi","819200000","1934400000","0.42349","0.0264831","0.112238","0.00805532","0"
"0x10105faa","0","shl ebx, 0x8","164800000","288000000","0.572222","0.00847458","0","0","0.00132337"
"0x10105fad","0","call 0x10105e60","355200000","756800000","0.469345","0.0105932","0","0.00805532","0"
"0x10105fb2","0","Block 4:","","","","","","",""
"0x10105fb2","0","cmp edi, 0x10000","593600000","1310400000","0.452991","0.0201271","0.0102034","0.00690456","0.0104719"
"0x10105fb8","0","jb 0x10105f50 <Block 2>","0","0","0","0","0.0102034","0","0"
"0x10105fba","0","Block 5:","","","","","","",""
"0x10105fba","0","mov rdi, qword ptr [rsp+0x48]","59200000","99200000","0.596774","0","0","0.00115076","0.000978143"
"0x10105fbf","0","mov rbp, qword ptr [rsp+0x38]","350400000","630400000","0.555838","0.0095339","0","0.00230152","0"
"0x10105fc4","0","mov dword ptr [rsi], ebx","28800000","84800000","0.339623","0","0","0","0.00103568"
"0x10105fc6","0","mov rsi, qword ptr [rsp+0x40]","59200000","120000000","0.493333","0.00211864","0","0","0.000978143"
"0x10105fcb","0","mov rbx, qword ptr [rsp+0x30]","60800000","136000000","0.447059","0.00105932","0","0.00115076","0"
"0x10105fd0","0","add rsp, 0x28","164800000","412800000","0.399225","0.00105932","0","0.00690456","0"
"0x10105fd4","0","ret ","20800000","40000000","0.52","0","0","0","0.000747993"
